Date,Units Sold,IQR_Anomaly
2022-01-04,144,0
2022-01-04,200,0
2022-01-04,256,0
2022-01-04,118,0
2022-01-04,244,0
2022-01-04,54,0
2022-01-05,147,0
2022-01-05,220,0
2022-01-05,97,0
2022-01-05,29,0
2022-01-05,192,0
2022-01-05,158,0
2022-01-05,8,0
2022-01-05,42,0
2022-01-05,5,0
2022-01-05,93,0
2022-01-05,44,0
2022-01-05,78,0
2022-01-05,57,0
2022-01-05,161,0
2022-01-05,172,0
2022-01-05,132,0
2022-01-05,46,0
2022-01-05,17,0
2022-01-05,38,0
2022-01-05,11,0
2022-01-05,161,0
2022-01-05,101,0
2022-01-05,263,0
2022-01-05,32,0
2022-01-05,209,0
2022-01-05,24,0
2022-01-05,20,0
2022-01-05,148,0
2022-01-05,100,0
2022-01-05,129,0
2022-01-05,257,0
2022-01-05,262,0
2022-01-05,200,0
2022-01-05,56,0
2022-01-05,24,0
2022-01-05,105,0
2022-01-05,294,0
2022-01-05,142,0
2022-01-05,55,0
2022-01-05,24,0
2022-01-05,53,0
2022-01-05,189,0
2022-01-05,146,0
2022-01-05,186,0
2022-01-05,77,0
2022-01-05,225,0
2022-01-05,66,0
2022-01-05,35,0
2022-01-05,1,0
2022-01-05,95,0
2022-01-05,255,0
2022-01-05,132,0
2022-01-05,234,0
2022-01-05,42,0
2022-01-05,25,0
2022-01-05,30,0
2022-01-05,28,0
2022-01-05,38,0
2022-01-05,149,0
2022-01-05,192,0
2022-01-05,198,0
2022-01-05,83,0
2022-01-05,97,0
2022-01-05,173,0
2022-01-05,69,0
2022-01-05,256,0
2022-01-05,246,0
2022-01-05,332,0
2022-01-05,325,0
2022-01-05,53,0
2022-01-05,17,0
2022-01-05,223,0
2022-01-05,95,0
2022-01-05,225,0
2022-01-05,216,0
2022-01-05,324,0
2022-01-05,75,0
2022-01-05,158,0
2022-01-05,55,0
2022-01-05,131,0
2022-01-05,74,0
2022-01-05,59,0
2022-01-05,150,0
2022-01-05,135,0
2022-01-05,79,0
2022-01-05,62,0
2022-01-05,130,0
2022-01-05,74,0
2022-01-05,16,0
2022-01-05,342,0
2022-01-05,48,0
2022-01-05,224,0
2022-01-05,64,0
2022-01-05,322,0
2022-01-05,264,0
2022-01-05,343,0
2022-01-05,15,0
2022-01-05,90,0
2022-01-05,143,0
2022-01-05,36,0
2022-01-06,37,0
2022-01-06,230,0
2022-01-06,58,0
2022-01-06,305,0
2022-01-06,120,0
2022-01-06,2,0
2022-01-06,35,0
2022-01-06,171,0
2022-01-06,195,0
2022-01-06,97,0
2022-01-06,177,0
2022-01-06,1,0
2022-01-06,181,0
2022-01-06,100,0
2022-01-06,1,0
2022-01-06,429,0
2022-01-06,26,0
2022-01-06,176,0
2022-01-06,15,0
2022-01-06,2,0
2022-01-06,81,0
2022-01-06,23,0
2022-01-06,65,0
2022-01-06,62,0
2022-01-06,76,0
2022-01-06,136,0
2022-01-06,255,0
2022-01-06,244,0
2022-01-06,173,0
2022-01-06,330,0
2022-01-06,95,0
2022-01-06,144,0
2022-01-06,350,0
2022-01-06,240,0
2022-01-06,210,0
2022-01-06,59,0
2022-01-06,57,0
2022-01-06,57,0
2022-01-06,283,0
2022-01-06,203,0
2022-01-06,170,0
2022-01-06,30,0
2022-01-06,180,0
2022-01-06,211,0
2022-01-06,243,0
2022-01-06,7,0
2022-01-06,9,0
2022-01-06,231,0
2022-01-06,11,0
2022-01-06,18,0
2022-01-06,144,0
2022-01-06,26,0
2022-01-06,61,0
2022-01-06,80,0
2022-01-06,476,1
2022-01-06,316,0
2022-01-06,162,0
2022-01-06,51,0
2022-01-06,37,0
2022-01-06,63,0
2022-01-06,101,0
2022-01-06,105,0
2022-01-06,134,0
2022-01-06,50,0
2022-01-06,220,0
2022-01-06,260,0
2022-01-06,80,0
2022-01-06,167,0
2022-01-06,166,0
2022-01-06,49,0
2022-01-06,26,0
2022-01-06,73,0
2022-01-06,257,0
2022-01-06,50,0
2022-01-06,49,0
2022-01-06,24,0
2022-01-06,192,0
2022-01-06,47,0
2022-01-06,325,0
2022-01-06,150,0
2022-01-06,195,0
2022-01-06,35,0
2022-01-06,96,0
2022-01-06,219,0
2022-01-06,14,0
2022-01-06,14,0
2022-01-06,39,0
2022-01-06,162,0
2022-01-06,70,0
2022-01-06,64,0
2022-01-06,83,0
2022-01-06,171,0
2022-01-06,101,0
2022-01-06,128,0
2022-01-06,7,0
2022-01-06,15,0
2022-01-06,250,0
2022-01-06,192,0
2022-01-06,149,0
2022-01-06,7,0
2022-01-07,107,0
2022-01-07,115,0
2022-01-07,32,0
2022-01-07,307,0
2022-01-07,92,0
2022-01-07,23,0
2022-01-07,429,0
2022-01-07,64,0
2022-01-07,242,0
2022-01-07,20,0
2022-01-07,102,0
2022-01-07,118,0
2022-01-07,71,0
2022-01-07,115,0
2022-01-07,128,0
2022-01-07,161,0
2022-01-07,66,0
2022-01-07,87,0
2022-01-07,46,0
2022-01-07,124,0
2022-01-07,150,0
2022-01-07,67,0
2022-01-07,72,0
2022-01-07,114,0
2022-01-07,119,0
2022-01-07,68,0
2022-01-07,211,0
2022-01-07,46,0
2022-01-07,117,0
2022-01-07,116,0
2022-01-07,53,0
2022-01-07,137,0
2022-01-07,143,0
2022-01-07,152,0
2022-01-07,39,0
2022-01-07,211,0
2022-01-07,100,0
2022-01-07,73,0
2022-01-07,122,0
2022-01-07,86,0
2022-01-07,39,0
2022-01-07,145,0
2022-01-07,4,0
2022-01-07,8,0
2022-01-07,298,0
2022-01-07,175,0
2022-01-07,177,0
2022-01-07,154,0
2022-01-07,24,0
2022-01-07,63,0
2022-01-07,29,0
2022-01-07,52,0
2022-01-07,59,0
2022-01-07,48,0
2022-01-07,71,0
2022-01-07,86,0
2022-01-07,12,0
2022-01-07,336,0
2022-01-07,35,0
2022-01-07,20,0
2022-01-07,13,0
2022-01-07,46,0
2022-01-07,49,0
2022-01-07,92,0
2022-01-07,108,0
2022-01-07,343,0
2022-01-07,83,0
2022-01-07,72,0
2022-01-07,186,0
2022-01-07,50,0
2022-01-07,80,0
2022-01-07,36,0
2022-01-07,188,0
2022-01-07,227,0
2022-01-07,174,0
2022-01-07,139,0
2022-01-07,4,0
2022-01-07,70,0
2022-01-07,12,0
2022-01-07,162,0
2022-01-07,97,0
2022-01-07,297,0
2022-01-07,197,0
2022-01-07,32,0
2022-01-07,131,0
2022-01-07,284,0
2022-01-07,246,0
2022-01-07,139,0
2022-01-07,182,0
2022-01-07,164,0
2022-01-07,438,1
2022-01-07,59,0
2022-01-07,88,0
2022-01-07,211,0
2022-01-07,161,0
2022-01-07,111,0
2022-01-07,186,0
2022-01-07,30,0
2022-01-07,33,0
2022-01-07,126,0
2022-01-08,2,0
2022-01-08,33,0
2022-01-08,123,0
2022-01-08,79,0
2022-01-08,217,0
2022-01-08,14,0
2022-01-08,172,0
2022-01-08,58,0
2022-01-08,162,0
2022-01-08,186,0
2022-01-08,106,0
2022-01-08,229,0
2022-01-08,261,0
2022-01-08,142,0
2022-01-08,255,0
2022-01-08,42,0
2022-01-08,248,0
2022-01-08,58,0
2022-01-08,127,0
2022-01-08,151,0
2022-01-08,341,0
2022-01-08,134,0
2022-01-08,64,0
2022-01-08,298,0
2022-01-08,107,0
2022-01-08,233,0
2022-01-08,18,0
2022-01-08,278,0
2022-01-08,241,0
2022-01-08,23,0
2022-01-08,7,0
2022-01-08,13,0
2022-01-08,91,0
2022-01-08,25,0
2022-01-08,117,0
2022-01-08,34,0
2022-01-08,153,0
2022-01-08,351,0
2022-01-08,285,0
2022-01-08,188,0
2022-01-08,264,0
2022-01-08,50,0
2022-01-08,12,0
2022-01-08,250,0
2022-01-08,271,0
2022-01-08,189,0
2022-01-08,324,0
2022-01-08,454,1
2022-01-08,104,0
2022-01-08,6,0
2022-01-08,480,1
2022-01-08,3,0
2022-01-08,11,0
2022-01-08,60,0
2022-01-08,47,0
2022-01-08,36,0
2022-01-08,85,0
2022-01-08,61,0
2022-01-08,66,0
2022-01-08,119,0
2022-01-08,23,0
2022-01-08,25,0
2022-01-08,214,0
2022-01-08,450,1
2022-01-08,148,0
2022-01-08,69,0
2022-01-08,97,0
2022-01-08,161,0
2022-01-08,97,0
2022-01-08,170,0
2022-01-08,132,0
2022-01-08,145,0
2022-01-08,331,0
2022-01-08,256,0
2022-01-08,135,0
2022-01-08,163,0
2022-01-08,105,0
2022-01-08,39,0
2022-01-08,41,0
2022-01-08,59,0
2022-01-08,53,0
2022-01-08,149,0
2022-01-08,208,0
2022-01-08,61,0
2022-01-08,211,0
2022-01-08,223,0
2022-01-08,93,0
2022-01-08,150,0
2022-01-08,147,0
2022-01-08,209,0
2022-01-08,40,0
2022-01-08,8,0
2022-01-08,241,0
2022-01-08,8,0
2022-01-08,230,0
2022-01-08,89,0
2022-01-08,116,0
2022-01-08,125,0
2022-01-08,83,0
2022-01-08,96,0
2022-01-09,350,0
2022-01-09,9,0
2022-01-09,153,0
2022-01-09,5,0
2022-01-09,343,0
2022-01-09,45,0
2022-01-09,81,0
2022-01-09,194,0
2022-01-09,169,0
2022-01-09,40,0
2022-01-09,106,0
2022-01-09,50,0
2022-01-09,85,0
2022-01-09,51,0
2022-01-09,342,0
2022-01-09,98,0
2022-01-09,418,0
2022-01-09,316,0
2022-01-09,284,0
2022-01-09,55,0
2022-01-09,155,0
2022-01-09,29,0
2022-01-09,50,0
2022-01-09,137,0
2022-01-09,242,0
2022-01-09,71,0
2022-01-09,237,0
2022-01-09,45,0
2022-01-09,252,0
2022-01-09,222,0
2022-01-09,334,0
2022-01-09,45,0
2022-01-09,270,0
2022-01-09,87,0
2022-01-09,270,0
2022-01-09,178,0
2022-01-09,50,0
2022-01-09,95,0
2022-01-09,45,0
2022-01-09,391,0
2022-01-09,112,0
2022-01-09,337,0
2022-01-09,98,0
2022-01-09,34,0
2022-01-09,4,0
2022-01-09,65,0
2022-01-09,21,0
2022-01-09,100,0
2022-01-09,331,0
2022-01-09,40,0
2022-01-09,48,0
2022-01-09,393,0
2022-01-09,116,0
2022-01-09,198,0
2022-01-09,67,0
2022-01-09,55,0
2022-01-09,312,0
2022-01-09,169,0
2022-01-09,141,0
2022-01-09,225,0
2022-01-09,253,0
2022-01-09,74,0
2022-01-09,58,0
2022-01-09,117,0
2022-01-09,242,0
2022-01-09,97,0
2022-01-09,239,0
2022-01-09,307,0
2022-01-09,250,0
2022-01-09,57,0
2022-01-09,156,0
2022-01-09,175,0
2022-01-09,6,0
2022-01-09,3,0
2022-01-09,14,0
2022-01-09,85,0
2022-01-09,222,0
2022-01-09,259,0
2022-01-09,59,0
2022-01-09,245,0
2022-01-09,408,0
2022-01-09,178,0
2022-01-09,28,0
2022-01-09,72,0
2022-01-09,101,0
2022-01-09,151,0
2022-01-09,384,0
2022-01-09,123,0
2022-01-09,207,0
2022-01-09,98,0
2022-01-09,338,0
2022-01-09,152,0
2022-01-09,253,0
2022-01-09,304,0
2022-01-09,19,0
2022-01-09,222,0
2022-01-09,200,0
2022-01-09,113,0
2022-01-09,148,0
2022-01-09,214,0
2022-01-10,36,0
2022-01-10,183,0
2022-01-10,38,0
2022-01-10,18,0
2022-01-10,59,0
2022-01-10,151,0
2022-01-10,323,0
2022-01-10,76,0
2022-01-10,138,0
2022-01-10,113,0
2022-01-10,88,0
2022-01-10,16,0
2022-01-10,284,0
2022-01-10,269,0
2022-01-10,381,0
2022-01-10,80,0
2022-01-10,84,0
2022-01-10,8,0
2022-01-10,65,0
2022-01-10,221,0
2022-01-10,42,0
2022-01-10,70,0
2022-01-10,11,0
2022-01-10,54,0
2022-01-10,36,0
2022-01-10,229,0
2022-01-10,94,0
2022-01-10,212,0
2022-01-10,178,0
2022-01-10,300,0
2022-01-10,345,0
2022-01-10,147,0
2022-01-10,104,0
2022-01-10,73,0
2022-01-10,293,0
2022-01-10,71,0
2022-01-10,21,0
2022-01-10,22,0
2022-01-10,31,0
2022-01-10,259,0
2022-01-10,57,0
2022-01-10,79,0
2022-01-10,7,0
2022-01-10,92,0
2022-01-10,248,0
2022-01-10,89,0
2022-01-10,120,0
2022-01-10,216,0
2022-01-10,335,0
2022-01-10,158,0
2022-01-10,91,0
2022-01-10,320,0
2022-01-10,67,0
2022-01-10,79,0
2022-01-10,84,0
2022-01-10,87,0
2022-01-10,18,0
2022-01-10,369,0
2022-01-10,170,0
2022-01-10,192,0
2022-01-10,280,0
2022-01-10,236,0
2022-01-10,107,0
2022-01-10,40,0
2022-01-10,27,0
2022-01-10,102,0
2022-01-10,110,0
2022-01-10,135,0
2022-01-10,12,0
2022-01-10,259,0
2022-01-10,110,0
2022-01-10,53,0
2022-01-10,35,0
2022-01-10,349,0
2022-01-10,178,0
2022-01-10,201,0
2022-01-10,264,0
2022-01-10,35,0
2022-01-10,73,0
2022-01-10,215,0
2022-01-10,23,0
2022-01-10,211,0
2022-01-10,28,0
2022-01-10,40,0
2022-01-10,112,0
2022-01-10,112,0
2022-01-10,140,0
2022-01-10,94,0
2022-01-10,177,0
2022-01-10,209,0
2022-01-10,46,0
2022-01-10,62,0
2022-01-10,176,0
2022-01-10,21,0
2022-01-10,300,0
2022-01-10,103,0
2022-01-10,266,0
2022-01-10,235,0
2022-01-10,154,0
2022-01-10,176,0
2022-01-11,16,0
2022-01-11,124,0
2022-01-11,9,0
2022-01-11,344,0
2022-01-11,263,0
2022-01-11,259,0
2022-01-11,79,0
2022-01-11,230,0
2022-01-11,183,0
2022-01-11,144,0
2022-01-11,249,0
2022-01-11,3,0
2022-01-11,213,0
2022-01-11,57,0
2022-01-11,38,0
2022-01-11,302,0
2022-01-11,136,0
2022-01-11,54,0
2022-01-11,410,0
2022-01-11,168,0
2022-01-11,48,0
2022-01-11,112,0
2022-01-11,67,0
2022-01-11,149,0
2022-01-11,317,0
2022-01-11,277,0
2022-01-11,6,0
2022-01-11,22,0
2022-01-11,326,0
2022-01-11,172,0
2022-01-11,314,0
2022-01-11,48,0
2022-01-11,379,0
2022-01-11,241,0
2022-01-11,144,0
2022-01-11,58,0
2022-01-11,418,0
2022-01-11,274,0
2022-01-11,110,0
2022-01-11,333,0
2022-01-11,6,0
2022-01-11,188,0
2022-01-11,201,0
2022-01-11,108,0
2022-01-11,94,0
2022-01-11,28,0
2022-01-11,70,0
2022-01-11,53,0
2022-01-11,29,0
2022-01-11,69,0
2022-01-11,201,0
2022-01-11,405,0
2022-01-11,3,0
2022-01-11,6,0
2022-01-11,58,0
2022-01-11,22,0
2022-01-11,320,0
2022-01-11,221,0
2022-01-11,23,0
2022-01-11,109,0
2022-01-11,45,0
2022-01-11,94,0
2022-01-11,175,0
2022-01-11,136,0
2022-01-11,107,0
2022-01-11,89,0
2022-01-11,81,0
2022-01-11,43,0
2022-01-11,233,0
2022-01-11,386,0
2022-01-11,37,0
2022-01-11,206,0
2022-01-11,37,0
2022-01-11,116,0
2022-01-11,309,0
2022-01-11,186,0
2022-01-11,59,0
2022-01-11,139,0
2022-01-11,25,0
2022-01-11,356,0
2022-01-11,204,0
2022-01-11,331,0
2022-01-11,52,0
2022-01-11,175,0
2022-01-11,210,0
2022-01-11,29,0
2022-01-11,82,0
2022-01-11,71,0
2022-01-11,168,0
2022-01-11,50,0
2022-01-11,117,0
2022-01-11,89,0
2022-01-11,178,0
2022-01-11,159,0
2022-01-11,230,0
2022-01-11,6,0
2022-01-11,148,0
2022-01-11,224,0
2022-01-11,19,0
2022-01-11,155,0
2022-01-12,104,0
2022-01-12,63,0
2022-01-12,164,0
2022-01-12,69,0
2022-01-12,13,0
2022-01-12,176,0
2022-01-12,152,0
2022-01-12,0,0
2022-01-12,33,0
2022-01-12,3,0
2022-01-12,327,0
2022-01-12,146,0
2022-01-12,38,0
2022-01-12,106,0
2022-01-12,297,0
2022-01-12,31,0
2022-01-12,18,0
2022-01-12,296,0
2022-01-12,444,1
2022-01-12,153,0
2022-01-12,314,0
2022-01-12,91,0
2022-01-12,241,0
2022-01-12,21,0
2022-01-12,75,0
2022-01-12,138,0
2022-01-12,46,0
2022-01-12,105,0
2022-01-12,37,0
2022-01-12,23,0
2022-01-12,62,0
2022-01-12,19,0
2022-01-12,58,0
2022-01-12,33,0
2022-01-12,159,0
2022-01-12,14,0
2022-01-12,52,0
2022-01-12,37,0
2022-01-12,227,0
2022-01-12,219,0
2022-01-12,168,0
2022-01-12,113,0
2022-01-12,21,0
2022-01-12,64,0
2022-01-12,99,0
2022-01-12,204,0
2022-01-12,8,0
2022-01-12,7,0
2022-01-12,3,0
2022-01-12,6,0
2022-01-12,86,0
2022-01-12,328,0
2022-01-12,63,0
2022-01-12,104,0
2022-01-12,89,0
2022-01-12,114,0
2022-01-12,10,0
2022-01-12,127,0
2022-01-12,194,0
2022-01-12,151,0
2022-01-12,39,0
2022-01-12,95,0
2022-01-12,31,0
2022-01-12,4,0
2022-01-12,286,0
2022-01-12,145,0
2022-01-12,104,0
2022-01-12,190,0
2022-01-12,200,0
2022-01-12,82,0
2022-01-12,119,0
2022-01-12,141,0
2022-01-12,29,0
2022-01-12,309,0
2022-01-12,95,0
2022-01-12,14,0
2022-01-12,400,0
2022-01-12,167,0
2022-01-12,96,0
2022-01-12,205,0
2022-01-12,6,0
2022-01-12,448,1
2022-01-12,67,0
2022-01-12,29,0
2022-01-12,129,0
2022-01-12,32,0
2022-01-12,345,0
2022-01-12,39,0
2022-01-12,162,0
2022-01-12,116,0
2022-01-12,170,0
2022-01-12,78,0
2022-01-12,136,0
2022-01-12,132,0
2022-01-12,18,0
2022-01-12,40,0
2022-01-12,86,0
2022-01-12,18,0
2022-01-12,197,0
2022-01-12,60,0
2022-01-13,80,0
2022-01-13,310,0
2022-01-13,1,0
2022-01-13,70,0
2022-01-13,254,0
2022-01-13,135,0
2022-01-13,245,0
2022-01-13,122,0
2022-01-13,26,0
2022-01-13,25,0
2022-01-13,24,0
2022-01-13,9,0
2022-01-13,80,0
2022-01-13,58,0
2022-01-13,55,0
2022-01-13,19,0
2022-01-13,52,0
2022-01-13,198,0
2022-01-13,196,0
2022-01-13,152,0
2022-01-13,317,0
2022-01-13,54,0
2022-01-13,149,0
2022-01-13,247,0
2022-01-13,158,0
2022-01-13,334,0
2022-01-13,225,0
2022-01-13,37,0
2022-01-13,335,0
2022-01-13,111,0
2022-01-13,175,0
2022-01-13,217,0
2022-01-13,229,0
2022-01-13,62,0
2022-01-13,283,0
2022-01-13,79,0
2022-01-13,98,0
2022-01-13,12,0
2022-01-13,247,0
2022-01-13,17,0
2022-01-13,2,0
2022-01-13,71,0
2022-01-13,15,0
2022-01-13,1,0
2022-01-13,182,0
2022-01-13,54,0
2022-01-13,63,0
2022-01-13,133,0
2022-01-13,24,0
2022-01-13,247,0
2022-01-13,53,0
2022-01-13,3,0
2022-01-13,57,0
2022-01-13,42,0
2022-01-13,131,0
2022-01-13,58,0
2022-01-13,127,0
2022-01-13,27,0
2022-01-13,352,0
2022-01-13,21,0
2022-01-13,171,0
2022-01-13,103,0
2022-01-13,5,0
2022-01-13,416,0
2022-01-13,54,0
2022-01-13,41,0
2022-01-13,221,0
2022-01-13,127,0
2022-01-13,71,0
